〆切	termination、conclusion、ending、deadline
疲労	tiredness; lassitude; defatigation; weariness; fatigue
皮切り	opener、start、starting line、scratch、scratch line
皮肉	ironic、ironical、wry、ironic、dry、ironical、sardonic
秘	secrecy、silence、secretiveness、secret、confidentiality
秘か	arcanum、secret
秘め	obliterate、obscure、hide、blot out、veil、hide、conceal
秘境	land of mystery
秘訣	secret; key
秘書	secretary
秘書室	Office of the Executive Secretariat; secretariat
秘密	mystery; privacy; secret; secrecy
秘密結社	secret society
秘話	secret story
被っ	put on、get into、wear、assume、don、suffer、get、sustain、have、put on
被害	harm; damage; injury
被害者	victim
被害届	registration of damage
被害妄想	reference delusion; delusion of injury; persecution complex; persecutory delusion; delusion of persecution
被疑者	suspect
被告	the accused; defendant
被告人	defendant
被災	disaster
被災者	victim
被災地	damaged area
被爆	exposure
被爆者	bomb victim
誹謗中傷	smirch、denigrate、smear、slander、besmirch、calumniate、sully、asperse、defame
費	expense; cost
費やす	give、pay、devote、use up、eat up、consume、eat、exhaust、deplete、run through
費用	expenditure; expense; charge; cost
費用対効果	cost effectiveness
避け	hedge、dodge、sidestep、circumvent、evade、parry、put off、elude、fudge、skirt
避難	refuge; shelter; evacuation
避難所	shelter; salvage place
非	misdeed、misbehavior、misbehaviour、wrongdoing、error、weak point、shortcoming、defect、inconvenience、incommodiousness
非営利	nonprofit organization、not-for-profit、nonprofit
非営利団体	nonprofit organization
非核	non-nuclear; anti-nuclear
非関税障壁	non‐tariff barrier
非常	super、passing、exceedingly、extremely、greatly、highly、extremely
非常勤講師	Part-time lecturer
非常時	emergency
非常用持ち出し袋	emergency bag
非政府組織	NGO; non-governmental organization
非正規雇用	Temporary work
非難	reproach; criticism; blame
非表示	nonindicating; non-display
非暴力	nonviolence
飛ば	burn out、blow out、blow、jump、pass over、skip over、skip、carry、fly、fly
飛ばし	utter、let out、let loose、emit、fire、discharge、pilot、fly、aviate、reassign
飛び火	flying sparks; fire leap
飛び交い	flutter about; fly past each other; fly about
飛び込み	plunge、launch、dive、dive
飛び出し	plunge、launch、pop out、burst out、fly、burst forth、leap out、sally out、rush out、pop out
飛行	flight
飛行機	aeroplane; airplane
備え	sentry duty、sentry go、guard duty、guard、precaution、guard、safeguard、defensive measure、defense、defence
備える	steel oneself against、brace oneself for、steel onself for、prepare for、arm、build up、fortify、gird、put in、install
備わっ	own、have、possess
備蓄	storing; storage
微増	slight increase
微分積分	infinitesimal calculus
微妙	ticklish、delicate、touchy、elusive、subtle
眉	eyebrow; hood
美	beauty
美し	beautiful、beauteous、better-looking、good-looking、handsome、well-favoured、well-favored、fine-looking、lovely、pretty
美女	beauty
美人投票	Keynesian beauty contest
美男	good‐looking man
美味しい	nice
美容	beauty
美容院	beauty salon
美里	Misato
膝	geniculum; genu; knee
菱	Trapa japonica (species of plant closely related to water chestnut or water caltrop)
菱形	rhomboid
必見	must-see; not to be missed; a must
必殺	Ko-Hit
必死	desperate、heroic
必至	inevitable、ineluctable、inescapable、unavoidable、inevitable
必需	necessary、requisite、requirement、necessity、essential
必須	imperative、compulsory、mandatory、required、essential、crucial、of the essence、essential、all-important、all important
必然	sure thing、foregone conclusion、certainty、certainty、inevitable、necessity
必然的	inevitably、needs、necessarily、of necessity、necessarily
必要	needfully、necessarily
必要性	need; necessity
筆者	author
筆頭	primacy
筆頭株主	largest shareholder; top shareholder
逼迫	tightening; urgency
姫	princess
紐解く	read
百貨店	department store
百度	Baidu
標識	sign; labeling; labelling; marker; tag; label; mark; signal
標準	criterion; standard; normal
標的	target; mark
氷	ice
氷山の一角	the tip of the iceberg
漂い	float、be adrift、blow、drift、err、stray、drift、freewheel、drift
漂流記	castaway story (e.g. Robinson Crusoe); drifter's adventure tale
票	poll; vote; ballot
表	bill; Tab.; list; table; the front
表し	stand for、typify、symbolize、symbolise、represent、betoken、indicate、bespeak、point、signal
表れ	appear、come along、appear、emerge、issue、emerge、go forth、egress、come out、come forth
表記	write、write、write、spell
表計算ソフト	spread sheet software
表現	expression; representation
表現の自由	freedom of expression
表現者	person that expresses themselves
表沙汰	going public; creating publicity; recourse to litigation
表紙	cover
表示	expression; indication; display
表彰	award
表情	expression
表明	manifestation
表面	face; surface
評し	to evaluate; to appraise; to comment on
評価	valuation; rating; assessment; estimate; appraisal; evaluation
評判	repute; reputation
評論家	critic
描き出さ	depict、describe、draw、state、express、draw、show、depict、render、picture
描く	depict、describe、draw、portray、delineate、describe、line、trace、draw、draw
描写	description
病	ill; illness; sickness
病院	hospital
病気	illness; sickness; disease
病児保育	care of a sick child
秒	second
秒間	second
品	article
品々	various articles
品位	grade; dignity; appearance quality
品質	quality
品物	goods
品目	item
浜	shore; beach
貧し	wanting、lacking、deficient、meagerly、meagre、stingy、scrimpy、meager、scanty、spare
貧困	poor、poor
貧困層	poor classes
貧者	poor man
貧富	rich and poor; poverty and wealth
貧富の差	disparity in wealth
貧乏	poor、penurious、penniless、pinched、impecunious、hard up、in straitened circumstances、poor、poor
頻度	frequency
頻繁	oftentimes、oft、frequently、often、ofttimes、continually
敏感	sapiently、astutely、sagaciously、acutely、shrewdly、acutely
敏腕	able、useful、utilitarian、gifted、talented
不安	restless; anxiety
不安定	unstable; instability
不可	wrong; bad; improper; unjustifiable; inadvisable
不可欠	essential、indispensable、crucial、of the essence、essential、all-important、all important、necessary、essential、indispensable
不可能	impracticably
不快	bad、tough、awful、unspeakable、dreadful、atrocious、terrible、abominable、painful、unpleasant
不完全	incompletely
不慣れ	unaccustomed、unaccustomed、inexperienced、inexperient、raw、new
不気味	eerily、spookily
不倶戴天	mortal enemy
不具合	shortcoming、defect、flaw、fault、defect
不健全	bad、unhealthful、insanitary、unsanitary、sick、ill、insalubrious、unhealthy、unhealthful
不公平	discriminatory、preferential、unfair、unjust、raw、unjust、inequitable
不幸	dysphoric、unhappy、distressed、unfortunate、unfortunate、infelicitous、unhappy、unhappy、unhappy
不甲斐ない	cowardly、fearful、spineless、wishy-washy、gutless、namby-pamby
不在	absence
不作	poor crop; crop failure; bad harvest
不思議	mystery
不支持	unsupport
不自然	unnatural、affected、laboured、labored、strained、unnatural、artificial、unreal
不自由	disablement
不十分	ill、badly、poorly、insufficiently
不出来	unsuccessful、stillborn、abortive、botched、bungled、unsuccessful
不祥事	scandal
不信	impiety; insincerity; distrust
不信任	nonconfidence
不審	questionably、dubiously
不振	slump; depression
不正	foully、foully、insultingly
不正アクセス	injustice access
不正行為	fraud
不正蓄財	dishonest accumulation of wealth
不正表示	mislabeling; false labeling; deceptive labeling; fraudulent labeling
不足	shortage; deficiency; deficit; lack
不知	ignorance
不定期	temporary、irregular
不適切	unequal、inadequate、wrong
不登校	school refusal
不当	undue、unfair、unjust、wrong、awry、amiss、haywire、unjust、wrongful、wrongful
不動	inactivity; immobility; stability; immobilization
不同意	disagreement
不特定多数	many and unspecified
不発弾	blind shell
不備	imperfect
不払い	nonpayment
不平等	discriminatory、preferential、unfair、unjust、unjust、inequitable
不便	inexpediently
不法	illicitly、illegally、lawlessly
不法行為	tort
不法占拠	illegal occupation
不満	disapproval、discontent、discontentedness、discontentment
不味い	unappetising、unappetizing、ugly、inept、awkward、cumbersome、ill-chosen、clumsy、inapt、awkward
不眠	hyposomia; agrypnia; asomnia; vigil; insomnia; sleeplessness
不明	uncertain、obscure、vague、obscure、dark、indistinct、unlettered、ignorant、nescient、unlearned
不毛	stark、bare、desolate、bleak、barren、fruitless、vain、bootless、futile、sleeveless
不用意	unprepared
不要	unneeded、unnecessary、gratuitous、uncalled-for、needless
不利	disfavour、disadvantage、disfavor
不利益	unadvisable、inadvisable、inexpedient
不良	fallen、fallen、fallen、bad、defective、bad、inferior、bad、fallen、bad
不倫	immorality
不憫	pitiful、pitiable、pathetic、miserable、suffering、wretched
付	luck、fortune
付き	attendant、attender、tender、luck、fortune
付き合い	traffic、dealings、association、fellowship、companionship、company、society、association、affiliation、tie-up
付き合っ	affiliate、associate、consort、assort
付く	cleave、adhere、cohere、stick、cling、attach to、come with、accompany、go with、accompany
付け	credit、deferred payment
付ける	fix、fix、fixate、sting、stick、keep、maintain、fasten、attach、attach
付け加え	add、supply、add、append、lend、add、bestow、contribute、bring、impart
付け足す	supply、add、append
付加	supplement; addition; annexation
付加価値	added value; value added
付記	additional remark; addition
付近	vicinity; neighborhood; adjacent
付託	commitment
付着	bond; deposit; adhesion; bonding
夫	husband
夫妻	husband and wife; Mr.and Mrs.; man and wife
夫婦	husband and wife; couple; married couple
婦人	female; woman; lady
富	riches; wealth
富める	rich; wealthy
富ん	abound、burst、bristle、abound、pullulate with、abound in、teem in
